community,collapse,stress_param,max_eigval,motif
1,1.0,0.64,-0.001,1
2,1.0,0.33,-0.00092,1
3,1.0,1.03,-0.00098,1
4,1.0,0.34,-0.00086,1
5,1.0,0.43,-0.00095,1
6,1.0,0.54,-0.00094,1
7,1.0,0.38,-0.00085,1
8,1.0,0.53,-0.00095,1
9,1.0,0.75,-0.001,1
10,1.0,0.55,-0.00094,1
11,1.0,0.4,-0.00079,1
12,1.0,0.33,-0.00092,1
13,1.0,0.45,-0.00096,1
14,1.0,0.45,-0.00094,1
15,1.0,0.51,-0.00094,1
16,1.0,0.47,-0.00095,1
17,1.0,0.64,-0.001,1
18,1.0,0.77,-0.00098,1
19,1.0,0.5,-0.00099,1
20,1.0,0.75,-0.00098,1
21,1.0,0.35,-0.00071,1
22,1.0,0.86,-0.00099,1
23,1.0,0.53,-0.00093,1
24,1.0,0.5,-0.00091,1
25,1.0,0.5,-0.00094,1
26,1.0,0.48,-0.00098,1
27,1.0,0.64,-0.00098,1
28,1.0,0.6,-0.001,1
29,1.0,0.61,-0.00096,1
30,1.0,0.44,-0.00091,1
31,1.0,0.36,-0.00071,1
32,1.0,0.33,-0.0006,1
33,1.0,0.52,-0.00094,1
34,1.0,0.34,-0.00053,1
35,1.0,0.52,-0.00097,1
36,1.0,0.34,-0.00085,1
37,1.0,0.49,-0.00096,1
38,1.0,0.58,-0.00097,1
39,1.0,0.43,-0.00095,1
40,1.0,0.49,-0.00092,1
41,1.0,0.58,-0.00097,1
42,1.0,0.48,-0.00091,1
43,1.0,0.48,-0.00091,1
44,1.0,0.4,-0.00094,1
45,1.0,0.35,-0.00067,1
46,1.0,0.41,-0.00083,1
47,1.0,0.43,-0.00089,1
48,1.0,0.51,-0.00094,1
49,1.0,0.69,-0.001,1
50,1.0,0.6,-0.00097,1
51,1.0,0.37,-0.00087,1
52,1.0,0.52,-0.00095,1
53,1.0,0.49,-0.00084,1
54,1.0,0.75,-0.00091,1
55,1.0,0.35,-0.00051,1
56,1.0,0.84,-0.001,1
57,1.0,0.67,-0.0009,1
58,1.0,0.67,-0.00096,1
59,1.0,0.36,-0.00085,1
60,1.0,0.42,-0.00095,1
61,1.0,0.47,-0.00096,1
62,1.0,0.55,-0.00097,1
63,1.0,0.5,-0.00097,1
64,1.0,0.55,-0.00098,1
65,1.0,1.19,-0.00099,1
66,1.0,0.62,-0.00098,1
67,1.0,0.38,-0.00066,1
68,1.0,0.56,-0.00099,1
69,1.0,0.51,-0.00093,1
70,1.0,0.39,-0.00096,1
71,1.0,0.42,-0.00081,1
72,1.0,0.34,-0.00063,1
73,1.0,0.51,-0.00098,1
74,1.0,0.66,-0.00096,1
75,1.0,0.58,-0.00097,1
76,1.0,0.63,-0.00098,1
77,1.0,0.62,-0.00099,1
78,1.0,0.35,-0.00092,1
79,1.0,0.35,-0.00098,1
