community,collapse,stress_param,max_eigval,motif
1,0.0,0.0,-0.21718,1
2,0.0,0.0,-0.22567,1
3,0.0,0.0,-0.15197,1
4,0.0,0.0,-0.22418,1
5,0.0,0.0,-0.16604,1
6,0.0,0.0,-0.18517,1
7,0.0,0.0,-0.18046,1
8,0.0,0.0,-0.1513,1
9,0.0,0.0,-0.2207,1
10,0.0,0.0,-0.17114,1
11,1.0,2.89,-0.2488,1
12,0.0,0.0,-0.18008,1
13,0.0,0.0,-0.20948,1
14,0.0,0.0,-0.18555,1
15,0.0,0.0,-0.20413,1
16,0.0,0.0,-0.20514,1
17,1.0,0.21,-0.24998,1
18,0.0,0.0,-0.15726,1
19,0.0,0.0,-0.19573,1
20,0.0,0.0,-0.19862,1
21,0.0,0.0,-0.18064,1
22,1.0,4.38,-0.24891,1
23,0.0,0.0,-0.21378,1
24,0.0,0.0,-0.19727,1
25,0.0,0.0,-0.13803,1
26,0.0,0.0,-0.19994,1
27,0.0,0.0,-0.19766,1
28,0.0,0.0,-0.18335,1
29,0.0,0.0,-0.17967,1
30,0.0,0.0,-0.20561,1
31,0.0,0.0,-0.2225,1
32,0.0,0.0,-0.16767,1
33,1.0,1.95,-0.24943,1
34,0.0,0.0,-0.19418,1
35,0.0,0.0,-0.19223,1
36,0.0,0.0,-0.13786,1
37,0.0,0.0,-0.15709,1
38,0.0,0.0,-0.22955,1
39,0.0,0.0,-0.21714,1
40,0.0,0.0,-0.16924,1
41,1.0,1.59,-0.24972,1
42,0.0,0.0,-0.1317,1
43,0.0,0.0,-0.18984,1
44,0.0,0.0,-0.20898,1
45,0.0,0.0,-0.17862,1
46,0.0,0.0,-0.21969,1
47,0.0,0.0,-0.16996,1
48,0.0,0.0,-0.19238,1
49,0.0,0.0,-0.22751,1
50,0.0,0.0,-0.21861,1
51,0.0,0.0,-0.17188,1
52,0.0,0.0,-0.20957,1
53,0.0,0.0,-0.16966,1
54,0.0,0.0,-0.21172,1
55,0.0,0.0,-0.16914,1
56,0.0,0.0,-0.18415,1
57,0.0,0.0,-0.21939,1
58,1.0,0.61,-0.24949,1
59,0.0,0.0,-0.23272,1
60,1.0,1.0,-0.24904,1
61,0.0,0.0,-0.23235,1
62,0.0,0.0,-0.17807,1
63,0.0,0.0,-0.19351,1
64,0.0,0.0,-0.19322,1
65,0.0,0.0,-0.22598,1
66,0.0,0.0,-0.18719,1
67,0.0,0.0,-0.14421,1
68,0.0,0.0,-0.21704,1
69,0.0,0.0,-0.20219,1
70,0.0,0.0,-0.21064,1
71,0.0,0.0,-0.16314,1
72,0.0,0.0,-0.23833,1
73,0.0,0.0,-0.1696,1
74,0.0,0.0,-0.19318,1
75,0.0,0.0,-0.22326,1
76,0.0,0.0,-0.16815,1
77,0.0,0.0,-0.21455,1
78,0.0,0.0,-0.21681,1
79,0.0,0.0,-0.17179,1
80,0.0,0.0,-0.23716,1
81,0.0,0.0,-0.22942,1
82,0.0,0.0,-0.19178,1
83,0.0,0.0,-0.24555,1
84,0.0,0.0,-0.1797,1
85,0.0,0.0,-0.19482,1
86,0.0,0.0,-0.17873,1
87,0.0,0.0,-0.16379,1
88,0.0,0.0,-0.18595,1
89,0.0,0.0,-0.11875,1
90,0.0,0.0,-0.16449,1
91,0.0,0.0,-0.12972,1
92,0.0,0.0,-0.20051,1
93,0.0,0.0,-0.197,1
94,0.0,0.0,-0.18901,1
95,0.0,0.0,-0.23972,1
96,0.0,0.0,-0.20865,1
97,0.0,0.0,-0.16689,1
98,0.0,0.0,-0.23968,1
99,0.0,0.0,-0.20516,1
100,0.0,0.0,-0.16682,1
1,0.0,0.0,-0.12174,2
2,0.0,0.0,-0.13137,2
3,0.0,0.0,-0.23437,2
4,0.0,0.0,-0.18331,2
