"metric","Parameter","Median","CI_low","CI_high","kld"
"max_uniJI","Fixed effects",NA,NA,NA,NA
NA,"(Intercept)","-2.297","-2.812","-1.772","0"
NA,"n_spp","0.627","0.591","0.661","0"
NA,"stressed1","1.631","1.363","1.898","0"
NA,"ts_length","-12.271","-12.888","-11.655","0"
NA,"search_effort","0.036","-0.285","0.358","0"
NA,"n_spp:stressed1","-0.304","-0.331","-0.277","0"
NA,"n_spp:ts_length","-0.411","-0.448","-0.375","0"
NA,"stressed1:ts_length","10.211","9.553","10.87","0"
NA,"n_spp:search_effort","0.007","-0.027","0.041","0"
NA,"stressed1:search_effort","2.131","1.692","2.571","0"
NA,"ts_length:search_effort","1.911","1.053","2.769","0"
NA,"n_spp:stressed1:ts_length","0.178","0.132","0.224","0"
NA,"n_spp:stressed1:search_effort","-0.113","-0.159","-0.067","0"
NA,"n_spp:ts_length:search_effort","0.08","0.027","0.134","0"
NA,"stressed1:ts_length:search_effort","-0.654","-1.626","0.317","0"
NA,"n_spp:stressed1:ts_length:search_effort","-0.056","-0.13","0.017","0"
NA,"Random effects",NA,NA,NA,NA
NA,"Precision for comm_id","0.777","0.569","1.031",NA
